userId	driveInd	speed	v0	v1	ti	texp	tval	t0	t1	hr	hf	squash	wb	wx	wt	wf	et	ef	d	tr	tf	encSpr0	sinRis0	retAdv0	encSpr1	sinRis1	retAdv1	continuity	armLX	armLY	armLZ	armRX	armRY	armRZ	extraGoal	useCurveKeys	squashF	fixedTarget	encSpr2	sinRis2	retAdv2	shapeTi	goalThreshold
funda	0	0.5	0	0	0.5	1	0	0	1	2.2	2	1	0.43	0.27	0	1.62	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.31	0	0	1	0	0.46	0	0	1	0	0.5	0.7
funda	1	1.4	0	0	0.5	1	0	0	1	2.18	2	1	0.46	0.6	0	0.74	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.2	0	0	0	0	0.62	0	0	1	0	1	0.7
funda	2	0.55	0.68	0	0.5	1	0	0	0.99	-2.5	2.5	0.75	0	0	0	0	0.07	0.33	0.1	0.43	2	0.4	0	0	0.4	-1	0	0	0	0	0	-0.15	0	0	1	0	1.08	0	0.4	0	0	0.31	0.7
funda	3	1.4	1	0	0.5	1	-0.49	0.14	0.99	-2.4	2.5	1	0	0	0	0	0.07	0.33	0.1	0.46	2	0.4	0	0	0.4	-1	-0.27	0	0	0	0	-0.15	0	0	0	0	1.12	0	0.4	-0.66	-0.27	0.07	0.7
funda	4	0.5	0	0	0.61	1	0	0	0.99	0	0	1	0.43	0.68	0	1.62	0	0	0	0	0	0	0	0.5	0	1	0.25	0	0	0	0	0	0	0	1	0	0.5	0	0	1	0.25	1	0.7
funda	5	1.4	0	0	0.62	1	0	0	1	0	0	1	0.49	0.62	0	0.75	0	0	0	0	0	0	0	0.4	0	0.15	0.1	0	0	0	0	0	0	0	0	0	0.5	0	0	1	0.1	0.1	0.7
funda	6	0.5	0.68	0	0.5	1	0	0	1	-0.5	0	1	0	0	0	0	0	0	0	0	0	0.4	0	0	0.4	-1	0	-0.5	0	0	0	0	0	0	1	0	1	0	0.4	-1	0	0.1	0.7
funda	7	1.4	1	0	0.5	1	0	0.09	0.99	-0.37	0	0.73	0	0	0	0	0	0.43	0.09	0	0	0.4	0	0	0.4	-1	0.23	0	0	0	0	0	0	0	0	0	0.91	0	0.4	-1	0.23	0.07	0.7
funda	8	1	0	1	0.68	0.72	0	0	0.75	2.5	2.95	1	0.62	0.43	0.2	2	0.67	2	0.43	0.68	2.91	0.25	0	0	0.56	1	0	0	0	0	0	0.31	0	0	1	0	0.56	0	0.56	1	0	1	0.7
funda	9	1	0	0	0.5	1	0	0	1	2.5	2.89	1	0.43	0	0	1.74	0	0	0	0	0	-0.43	0	0	-0.43	1	0	0	0	0	0	0	0	0	1	0	0.37	0	-0.43	1	0	1	0.7
funda	10	1	0.56	1	0.6	1.25	0	0.1	0.72	-2.39	3.2	0.81	0	0	0	0	0.18	0.62	0.2	0.68	2.97	0.28	0	0.14	0.56	-1	0	0	0.3	0	-0.2	0.33	0	0	1	0	1	0	0.56	0	0	0.31	1
funda	11	1	0.56	0	0.62	0.68	0	0.1	1	-2.25	2.75	1	0.05	0	0	0	0.15	0.68	0.1	0	0	0.23	0	0	0.23	-1	0	0	0.33	0	0	0.28	0	0	1	0	1.12	0	0.23	-1	0	0.3	0.3
funda	12	1	0	1	0.5	1	0	0	0.79	-1.62	0	1	0.5	0.18	0.2	2	0.46	2	0.36	0.68	2.97	0.25	0	0	0.6	1	0	0	0	0	0	0.62	0	0	1	0	0.43	0	0.6	1	0	1	1
funda	13	1	0	0	0.5	1	0	0	1	0	0	1	0.43	0	0	1.62	0	0	0	0	0	-0.43	0	0	-0.43	1	0	0	0	0	0	0	0	0	1	0	0.28	0	-0.43	1	0	1	0.3
funda	14	1	0.46	0	0.5	1	0	0.1	1	-1.36	0	0.68	-0.1	0	0	0.09	0.79	2.75	0.17	0.68	2.98	0.25	0	0	0.56	-1	0	0.5	0	0	-0.37	0.62	0	0	1	0	0.98	0	0.56	0	0	0.25	1
funda	15	1	0.4	0	0.5	1	0	0.1	1	-0.4	0	1	-0.05	-0.49	0	0	0	0	0	0	0	0.23	0	0	0.23	-1	0	0.28	0.23	0	0	0.28	0	0	1	0	0.99	0	0.23	-1	0	0.1	0.3
funda	16	0.5	0	1	0.5	1	0	0	0.75	2.47	2.25	0.31	0.15	0	0.91	2.17	0.85	1.5	0.3	0.68	2.95	0.23	0	0	0.56	0	0	0.2	0	0	-0.31	-0.28	0	0	1	0	2	0	0.56	0	0	0.1	1
funda	17	0.5	0	0	0.5	1	0	0	1	1.95	2	0	0.1	0	0.07	0.34	0.27	0.46	0.2	0	0	-0.4	0	0	-0.4	0	0	0	-0.1	0	0	-0.1	0	0	1	0	0	0	-0.4	0	0	0	0.3
funda	18	1.4	0	1	0.5	1	0	0	0.81	2.41	2.14	0	0	0	0.93	2.13	0.87	1.5	0.43	0.68	2.95	0.25	0	0	0.56	0	-0.1	0	0	0	0	0.23	0	0	0	1	0	0	0.56	0	-0.1	0.14	1
funda	19	1.4	0	0	0.5	1	0	0	1	1.75	2.22	0	0	-0.5	0.14	0.18	0.18	0.37	0.25	0.15	0.4	-0.34	0	0.28	-0.34	0	-0.09	0	-0.1	0	0	-0.1	0	0	0	0	0	0	-0.34	0	-0.09	0	0.3
funda	20	0.5	0	1	0.5	1	0	0	0.85	-1.45	0	0.3	0.2	-0.25	0.93	2.64	1	1.47	0.37	0.68	2.98	0.23	0	0	0.56	0	0.37	0	0.93	0	-0.56	0.31	0	0	1	0	2	0	0.56	0	0.37	0.15	1
funda	21	0.5	0	0	0.5	1	0	0	1	-0.28	0	0	0	0	0	0	0	0	0	0	0	-0.4	0	0	-0.4	0	0	0	-0.09	0	0	-0.09	0	0	1	0	0	0	-0.4	0	0	1	0.3
funda	22	1.4	0	1	0.5	1	-0.28	0	0.75	-2.23	0	0	0.14	0	0.87	1.25	0.85	1.5	0.74	0.68	2.95	0.25	0	0	0.5	0	0	0.2	0.91	0	-0.54	0.37	0	0	1	0	0	0	0.5	0	0	0.18	1
funda	23	1.4	0	0	0.5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.4	0	0	-0.4	0	0	0	-0.1	0	0	-0.1	0	0	0	0	0	0	-0.4	0	0	1	0.3
funda	24	0.5	0	1	0.5	1	0	0	0.93	0	0	1	0.37	0.28	0.33	1.62	0.43	1.87	0.46	0.68	2.92	0.4	0	0	0.56	1	0	0	1	0	-0.62	0.31	0	0	1	0	0.49	0	0.56	1	0	0.2	1
funda	25	0.5	0	0	0.5	1	0	0	1	1	0.93	1	0.43	0.62	0	1.62	0	0	0	0	0	-0.31	0	0	-0.31	1	0	0	0	0	0	0	0	0	1	0	0.62	0	-0.31	1	0	0.2	0.3
funda	26	1.4	0	1	0.5	1	0	0	0.62	0	0	0.81	0.56	0.97	0.55	1.87	0.46	2	0.43	0.68	2.95	0.25	0	0	0.56	1	0	0	0.62	0	-0.73	0.37	0	0	1	0	0.5	0	0.56	1	0	0.56	1
funda	27	1.4	0	0	0.5	1.87	0	0	1	1	0.92	1	0.46	0.68	0	1.12	0	0	0	0	0	-0.1	0	0	-0.28	1	0	0	0	0	0	0	0	0	1	0	0.5	0	-0.28	1	0	0.37	0.3
funda	28	0.5	0.81	1	0.5	1	0	0.1	0.91	0	0	0.68	0	0	0	0	0.81	1.87	0.15	0.68	2.97	0.23	0	0	0.56	-1	0	0.1	0.66	0	-0.68	0.54	0	0	1	0	1.09	0	0.56	-1	0	0.15	1
funda	29	0.5	0.4	0	0.5	1	0	0.1	1	-0.46	1.87	0	0	0	0	0	0	0	0	0	0	0.23	0	0	0.23	-1	0	0	0.2	0	0	0.2	0	0	1	0	0.75	0	0.23	-1	0	0.4	0.3
funda	30	1.4	0.4	1	0.66	1	0	0.1	0.91	0	0	0.68	0	0	0	0	0.81	1.84	0.37	0.68	2.95	0.23	0	0	0.56	-1	0	0	0.31	0	-0.3	0.4	0	0	1	0	1.1	0	0.56	0	0	0.17	1
funda	31	1.4	0.17	0	0.5	1.86	0	0.05	1	-0.56	1.37	1	0	0	0	0	0.07	0	0	0.07	1.22	0.23	0	0	0.23	-1	0	0	0.23	0	0	0.18	0	0	1	0	1	0	0.23	-1	0	0.2	0.3
